key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5],Talk[6],Talk[7]
offset,11,23,35,47,59,8,20,32,44,56,0,12,24,36,48,9,21,33,45,57,10,22,34,46,58,4,16,28,40,52,60,64,68,72,76,80,84,88
int32,bit&01,bit&01,bit&01,bit&01,bit&01,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,int32,int32,int32,int32,int32,str,str,str,str,str,str,str,str
0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
1,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,"Greetings, adventurer. I deal in the issuing of guildleves.","My apologies, <hex:02080FE905FF06>ma'am<hex:FF04>sir<hex:03>, but I am not authorized to issue guildleves to those as new to adventuring as you appear to be.","The quest you were assigned is of the utmost import. May the Matron see you to success.","0","0","0","0","0"
2,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"If it is a guildleve you seek, then I may just have the right one for you.","My records show that you have only recently arrived in Eorzea. I am sorry, but I cannot entrust you with the responsibility of a levequest until you have proven yourself to at least <hex:020924E802FF08>Baderon<hex:FF0F>Mother Miounne<hex:FF07>Momodi<hex:03> of the Adventurers' Guild.","Good luck, and may the Twelve be with you.","My records show that you have only recently arrived in the area. I am sorry, but I cannot entrust you with the responsibility of a levequest until you have proven yourself to at least <hex:020924E802FF08>Baderon<hex:FF0F>Mother Miounne<hex:FF07>Momodi<hex:03> of the Adventurers' Guild.","Let me see here... Ah, yes. Our levewatches report that you completed all leve objectives within the allotted time. Well done, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>! Let me ready your reward.","0","0","It addition to the objectives, it also seems you have found the time to slay a wanted target. Well done, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>! The bounty is yours!"
3,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"You wish to undertake leves? Then you have come to the right place.","You wish to undertake leves? While your enthusiasm cannot be denied, certain formalities must be observed. Namely, <hex:020924E802FF08>Baderon<hex:FF0F>Mother Miounne<hex:FF07>Momodi<hex:03> of the Adventurers' Guild must vouch for your abilities.","May the Spinner smile upon your endeavor.","You wish to undertake leves? While your enthusiasm cannot be denied, you appear unready to confront the fell beasts we have lurking in these woods. It is for your own well-being that I must deny you work.","So you have returned triumphant! Come, your reward awaits.","0","0","Watches tell me ye went and stuck ye a wanted target, to boot. I suppose ye'll be wantin' the bounty with yer reward, then, eh?"
4,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"There is work to be had, if you are interested, my friend.","I have no work for you, adventurer. Hone your skills, and then come and see me again once <hex:020924E802FF08>Baderon<hex:FF0F>Mother Miounne<hex:FF07>Momodi<hex:03> of the Adventurers' Guild has deemed you worthy.","Do not stray from duty, adventurer. I suggest seeing to the tasks at hand immediately.","I have no work for you, adventurer. Hone your skills, and then come and see me again once you've proven you can stand your ground against the creatures roaming these parts.","Your performance was noted by the local levewatches. I shall prepare your reward accordingly.","0","0","And do not fret. The bounty for the wanted creature you slew has been added."
5,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"The people of the Twelveswood need your help, adventurer. Have you the courage to provide it?","The people of the Twelveswood are always looking for those willing to assist them. Unfortunately, you still look a tad green to be of any real help. Now if <hex:020954E802FF23>someone such as Baderon Tenfingers<hex:FF0F>Mother Miounne<hex:FF1C>someone such as Momodi Modi<hex:03> were to vouch for you, that would be a different story...","The quest you were assigned is of the utmost import. May the Matron see you to success.","The people of the Twelveswood are always looking for those willing to assist them. Unfortunately, you still look a tad green to be of any real help. Now if <hex:020954E802FF23>someone such as Baderon Tenfingers<hex:FF0F>Mother Miounne<hex:FF1C>someone such as Momodi Modi<hex:03> were to vouch for you, that would be a different story...","Well done, adventurer. The levewatch overseeing your duty was thoroughly impressed. You may take your reward.","0","0","Oh, and I have seen to it that the bounty of the wanted target you most bravely slew was included."
6,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Welcome, welcome! The people of Eorzea are in desperate need of a <hex:02080FE905FF06>woman<hex:FF04>man<hex:03> of your talents. Might I interest you in a leve or two?","Welcome! The people of Eorzea are in constant need of a helping hand. Might you know of anyone talented in the arts of battle or spellcraft? You? Oh no, <hex:020934E802FF13>Baderon Tenfingers<hex:FF0F>Mother Miounne<hex:FF0C>Momodi Modi<hex:03> would have my head on a platter if I were to allow one as green as you take on the tasks I've been entrusted.","Godsspeed to you then!","Welcome! The people of Eorzea are in constant need of a helping hand. Might you know of anyone talented in the arts of battle or spellcraft? You? Oh no, the guildmaster would have my head on a platter if I were to allow one as green as you take on the tasks I've been entrusted.","Excellent. The levewatches have reported, and I have used their evaluation to tally your reward.","0","0","The extra gil you see included is the bounty for the wanted target you slew."
